season,team,market,loyalty,fan_interest,price,avg_att_per_game,capacity,st_revenue,notes
2_partial,OAK,Big,Great,100,49.69,32554,45000,71587800,
2_partial,NYM,Big,Good,100,33.00,40975,45000,52994898,
2_partial,STL,Big,Good,99,42.00,33057,45000,57793176,
2_partial,TEX,Big,Very Good,93,38.25,40936,45000,56682760,
2_partial,NYY,Astronomical,Good,91,39.54,35952,45000,48700817,
2_partial,MIN,Very Big,Above Avg,88,32.50,42770,45000,43251570,
2_partial,WAS,Big,Very Good,88,41.75,40788,45000,56416968,
2_partial,CHC,Very Big,Great,87,37.00,36789,45000,55159785,user's team
2_partial,HOU,Big,Extreme,87,55.00,28508,45000,57692250,
2_partial,MON,Big,Very Good,87,42.50,28302,45000,48404910,
2_partial,PIT,Big,Good,85,41.42,29650,45000,46060179,
2_partial,ARI,Big,Good,84,37.11,38195,45000,45302011,
2_partial,CLE,Big,Very Good,81,36.00,34033,45000,49117104,
2_partial,ANA,Big,Above Avg,80,41.00,34238,45000,44336160,
2_partial,PHI,Huge,Good,80,41.00,26876,45000,42312861,
2_partial,KCM,Very Big,Very Good,79,41.00,34076,45000,47212956,
2_partial,LAD,Big,Great,79,34.20,38306,45000,47317746,
2_partial,BAL,Very Big,Very Good,75,35.55,31760,45000,45352860,
2_partial,COL,Big,Good,73,40.00,25654,45000,38867850,
2_partial,DET,Big,Above Avg,72,37.00,27101,45000,38343618,
2_partial,BOS,Big,Good,69,37.00,25318,45000,37038060,
2_partial,TOR,Very Big,Above Avg,68,38.50,24894,45000,31905349,
2_partial,SF,Big,Below Avg,68,29.36,31321,45000,27475310,
2_partial,MIL,Big,Good,68,35.00,28753,45000,37515555,
2_partial,CWS,Big,Good,66,36.36,28524,45000,38123970,
2_partial,ATL,Above Avg,Above Avg,61,35.00,27046,45000,32503275,
2_partial,SEA,Very Big,Good,61,30.13,25119,45000,31199580,
2_partial,CIN,Very Big,Above Avg,59,27.50,27564,45000,26589588,
2_partial,SD,Big,Above Avg,58,35.06,24216,45000,30963239,
2_partial,KCR,Big,Good,56,32.50,27089,45000,30210437,
2_partial,TB,Big,Above Avg,52,30.00,21840,45000,26695980,
2_partial,FLA,Big,Average,52,30.00,22218,45000,24414210,
1_full,NYY,Astronomical,Good,,39.5399,35900,45000,49959456,2907909 total att
1_full,PHI,Huge,Good,,41.0000,25030,45000,44146053,2027488 total att
1_full,BAL,Very Big,Very Good,,35.3421,27814,45000,44316300,2252938 total att
1_full,CIN,Very Big,Above Avg,,27.5000,24165,45000,31233981,1957341 total att
1_full,MIN,Very Big,Above Avg,,29.4974,39111,45000,39371769,3167948 total att
1_full,TOR,Very Big,Above Avg,,37.2581,23932,45000,34693272,1938487 total att
1_full,CHC,Very Big,Great,,37.0756,36634,45000,56361582,2967339 total att — user's team
1_full,SEA,Very Big,Good,,30.1252,23782,45000,30657916,1926322 total att
1_full,KCM,Very Big,Very Good,,36.8216,30386,45000,43818489,2461326 total att
1_full,BOS,Big,Good,,32.4703,26183,45000,38644290,2120877 total att
1_full,CWS,Big,Good,,36.3618,26275,45000,41723174,2128257 total att
1_full,KCR,Big,Good,,32.4999,26834,45000,34469861,2173614 total att
1_full,OAK,Big,Very Good,,45.2352,43816,45000,63261150,3549068 total att
1_full,TEX,Big,Very Good,,37.4877,42994,45000,54386316,3482515 total att
1_full,DET,Big,Above Avg,,38.6273,21594,45000,36682223,1749088 total att
1_full,TB,Big,Good,,33.5055,22080,45000,32510970,1788507 total att
1_full,CLE,Big,Very Good,,36.0000,35351,45000,50146452,2863402 total att
1_full,ARI,Big,Good,,34.2563,37768,45000,39445657,3059151 total att
1_full,NYM,Big,Good,,34.8931,44167,45000,53045685,3577526 total att
1_full,ANA,Big,Good,,39.2508,37912,45000,46850632,3070983 total att
1_full,FLA,Big,Average,,30.0000,29128,45000,25804170,2359336 total att
1_full,COL,Big,Good,,43.1413,22306,45000,43862148,1806811 total att
1_full,MIL,Big,Good,,35.0000,27334,45000,40483800,2214024 total att
1_full,STL,Big,Good,,39.6798,38306,45000,41781825,3102804 total att
1_full,PIT,Big,Good,,43.5764,30540,45000,37581643,2473821 total att
1_full,SD,Big,Good,,35.0636,21678,45000,33288570,1755932 total att
1_full,SF,Big,Average,,29.3605,22542,45000,25808242,1825921 total att
1_full,WAS,Big,Very Good,,41.0349,36870,45000,59294685,2986509 total att
1_full,LAD,Big,Great,,35.7500,34112,45000,52051065,2763052 total att
1_full,HOU,Big,Extreme,,55.0000,34914,45000,55495935,2828021 total att
1_full,MON,Big,Good,,42.5000,36757,45000,56357142,2977325 total att
1_full,ATL,Above Avg,Good,,30.2171,22296,45000,30136860,1805987 total att
